501	"<img src=""E4B99E.png"" />"	beg	kerjama	that woman in bacolod	乞食	こじき	beggar	beg, reclining, lying down, fishhook	See someone <i>lying down</i> in a public place with a <i>hook</i> in place of a hand, <b>begging</b> a morsel of rice or a few pence.		3	Lying down, Captain Hook is begging to be spared from the ticking crocodile.	Men beg lying down. Women beg as hookers.	乞	こじき; こつじき【乞食】beggar / begging<br/>ほいとう; ほいと【乞児】being served food outside the meditation hall (at a Zen temple) / serving food; food served / begging; beggar<br/>こう【乞う】to beg; to ask; to request; to invite<br/>いのちごい【命ごい】begging for one's life; pleading for one's life<br/>ものごい【物ごい】beggar; begging<br/>あまごい【雨乞い】praying for rain<br/>いとまごい【暇乞】leave-taking; offering one's resignation; farewell visit<br/>こい【乞い】request; entreaty<br/>そでごい【袖乞い】beggar<br/>こつがい; かたい; かったい; きっかい【乞丐】beggar; bum	18	コツ, キツ, キ, キケ, コチ	こ.う	462	1013	0	[sound:RTK1_keyword_jp_501..mp3]	[sound:RTK1_keyword_en_501.mp3]
615	"<img src=""E7BEBD.png"" />"	feathers	suled	From the pictograph of two bird-wings, we get feathers.	羽	はね	feather; plume; wing	feathers, wings	From the pictograph of two bird-wings, we get <b>feathers</b>.	"* The related image of <i>wings</i> can be added as a primitive meaning. It can also take the form <sup>ョョ</sup> when used as a primitive, as we shall see in frames 618 and 619.	 "	6	Pictograph. Easy enough.	These days the biggest concern in airline safety is ICE on the WINGS of the plane. Birds that fly long distances also have to worry about getting ICE on their FEATHERS.	羽	う【羽】fifth degree (of the Japanese & Chinese pentatonic scale)<br/>はね【羽】feather; plume; wing / blade (fan, propeller, etc.)<br/>わ; ば; ぱ【羽】counter for birds and rabbits<br/>はね【羽】feather; plume; wing / blade (fan, propeller, etc.)<br/>はおり【羽織】haori (Japanese formal coat)<br/>はめ【破目】panel; wainscoting; wainscotting / plight; fix; bind; awkward situation; difficult situation; mess<br/>はおる【羽織る】to put on<br/>はばたく【羽ばたく】to flap (wings)<br/>うもう【羽毛】feathers; plumage; down<br/>はおと【羽音】sound of flapping wings (of a bird) / buzz; hum (of an insect)<br/>カッパ; かっぱ【合羽】raincoat; kappa; pluvial<br/>はごろも; うい【羽衣】angel's raiment; robe of feathers / wings of birds or insects; plumage of birds / type of bug<br/>きりは【切端】face (of a wall of coal or ore, etc.); working face (of a mine)<br/>せっぱ【切刃】thin washer on either side of the guard (tsuba) of a sword / (up to) the hilt; wits' end<br/>はむし【羽虫】biting louse (any louse of order Mallophaga) / small winged insect (esp. a flying ant or termite)<br/>はぶたえ【羽二重】habutai; habutae; fine Japanese silk<br/>はがいじめ【羽交い絞め】pinioning; binding arms behind the back<br/>せっぱつまる【切羽つまる】to be at one's wits' end; to be cornered; to be packed to the hilt<br/>しらは【白羽】white feather<br/>じんばおり【陣羽織】battle surcoat	21	ウ	は, わ, はね	573	82	2	[sound:RTK1_keyword_jp_615..mp3]	[sound:RTK1_keyword_en_615.mp3]
616	"<img src=""E7BF92.png"" />"	learn	oskust omandama	Imagine a white bird loosing a couple feathers as it is learning to fly. You learn a lesson as you watch it doing so, maybe you learn that “nothing comes for free” or that “one has to be prepared to loose in order to gain” ...	習う	ならう	to take lessons in; to be taught; to learn (from a teacher); to study (under a teacher); to get training in	learn, feathers, wings, white, dove	Feathers . . . white bird.		11	Imagine a white bird loosing a couple feathers as it is learning to fly. You learn a lesson as you watch it doing so, maybe you learn that “nothing comes for free” or that “one has to be prepared to loose in order to gain”...	Learning is all about adding more feathers to your cap and the most prestigious of all is the beautiful pure white feather you´ll receive when you have learned the kanji!	習	れんしゅう【練習】practice; practising<br/>しゅうかん【習慣】habit / custom; cultural practice<br/>ならう【習う】to take lessons in; to be taught; to learn (from a teacher); to study (under a teacher); to get training in<br/>えんしゅう【演習】practice; practising / exercises; manoeuvres; maneuvers / seminar (student debates, presentations, etc.); practicum<br/>みならい【見習】learn by observation; apprentice<br/>がくしゅう【学習】study; learning; tutorial<br/>みならい【見習】learn by observation; apprentice<br/>しゅうせい【習性】habit / behavior; behaviour; trait; nature<br/>ふうしゅう【風習】custom<br/>みならう【見習う】to follow another's example<br/>かんしゅう【慣習】usual (historical) custom<br/>こうしゅう【講習】short course; training<br/>しゅうとく【修得】learning; acquisition<br/>じっしゅう【実習】practice; practising; training (esp. practical and hands-on); drill<br/>じしゅう【自習】self-study<br/>きんじゅ; きんじゅう【近習】attendant<br/>しゅうじゅく【習熟】skilled; expert; mastery<br/>ふくしゅう【復習】review; revision<br/>ならい【習い】as is habit; the way life normally is<br/>よしゅう【予習】preparation for a lesson	21	シュウ, ジュ	なら.う, なら.い	574	323	3	[sound:RTK1_keyword_jp_616..mp3]	[sound:RTK1_keyword_en_616.mp3]
617	"<img src=""E7BF8C.png"" />"	the following	järgnev	The following segment is sponsored by...Swiffer - who make excellent feather dusters for cleaning your vases. tolmupuhasti	翌日	よくじつ	next day	the following, feathers, wings, vase, stand up	<i>Feathers</i> . . . <i>vase</i>. Be sure to contrast the connotation of this keyword with that for <i>next</i> (Frame 510).		11	Your feathers would also stand up if you were a hen in a slaughter house and you heard: ´The following!´.	The following segment is sponsored by...Swiffer - who make excellent feather dusters for cleaning your vases.	翌	よくじつ【翌日】next day<br/>よくあさ; よくちょう【翌朝】the next morning<br/>よくねん; よくとし【翌年】following year<br/>よく【翌】the following; next<br/>よくよくじつ【翌々日】two days later; next day but one<br/>よくしゅう【翌週】the following week; the next week<br/>よくばん【翌晩】the following evening<br/>よくげつ【翌月】following month<br/>よくよくねん【翌々年】two years later; year after next<br/>よくよく【翌々】the one after next<br/>よくよくしゅう【翌々週】the week after the following week; two weeks later; two weeks after that<br/>よくよくげつ【翌々月】two months later; the month after next	21	ヨク		575	998	2	[sound:RTK1_keyword_jp_617..mp3]	[sound:RTK1_keyword_en_617.mp3]
618	"<img src=""E69B9C.png"" />"	weekday	nädalapäev	The poor farmer spends every weekday plucking turkey feathers.	曜日	ようび	day of the week	weekday, sun, day, futon, feathers, wings, turkey	Day . . . feathers . . . turkey.		18	Tip: feathers + turkey : This combination of primitives appears six times in Heisig, so it´s worthwhile giving it a name. I suggest ´futon´ (your futon is made from turkey feathers). REF: weekday (FRAME 576) , laundry (#577), leap (#1285), outstanding (#2272), twinkle (#2534), shimmering (#2880). Story: On weekdays you hang your futon out in the sun.	The poor farmer spends every weekday while the sun shines, plucking turkey feathers.	曜	にちようび【日曜日】Sunday<br/>どようび【土曜日】Saturday<br/>きんようび【金曜日】Friday<br/>にちよう【日曜】Sunday<br/>げつようび【月曜日】Monday<br/>すいようび【水曜日】Wednesday<br/>どよう【土曜】Saturday<br/>かようび【火曜日】Tuesday<br/>もくようび【木曜日】Thursday<br/>ようび【曜日】day of the week<br/>げつよう【月曜】Monday<br/>きんよう【金曜】Friday<br/>こくようせき【黒曜石】obsidian<br/>もくよう【木曜】Thursday<br/>かよう【火曜】Tuesday<br/>すいよう【水曜】Wednesday<br/>しちよう【七曜】the seven luminaries (sun, moon, Mercury, Venus, Mars, Jupiter and Saturn) / the seven days of the week	21	ヨウ		576	236	3	[sound:RTK1_keyword_jp_618..mp3]	[sound:RTK1_keyword_en_618.mp3]
619	"<img src=""E6BFAF.png"" />"	laundry	pesu	a turkey in the washing machine. its feathers will surely clog up the filter	洗濯物	せんたくもの	laundry	laundry, water, water droplets, water pistol, futon, feathers, wings, turkey	Water . . . feathers . . . turkey		17	At the laundry you stuff your large futon (made from turkey feathers) in the machine, thereby causing it to break -- as shown by the water spurting out the side.	When turkeys do the laundry, they put their feathers in water (they don´t have clothes).	濯	せんたく【洗濯】washing; laundry<br/>すすぐ; そそぐ; ゆすぐ【濯ぐ】to rinse; to wash out / to have one's revenge; to wipe out a disgrace	21	タク	すす.ぐ, ゆす.ぐ	577	2041	2	[sound:RTK1_keyword_jp_619..mp3]	[sound:RTK1_keyword_en_619.mp3]
620	"<img src=""E69BB0.png"" />"	sayeth	ütlus	Pent in . . . one. The key word refers to famous sayings of famous people, and is the origin for the primitive meaning of a tongue wagging in the mouth that we learned in frame 12. The size of this kanji, a relatively rare one, is what distinguishes it from day.	曰く	いわく	pretext; history; past; story	sayeth, pent in, one	<i>Pent in</i> . . . <i>one</i>. The key word refers to famous sayings of famous people, and is the origin for the primitive meaning of <i>a tongue wagging in the mouth</i> that we learned in frame 12. The size of this kanji, a relatively rare one, is what distinguishes it from <i>day</i>.		4	Sayeth?! Who the hell says ´sayeth´? Doesn´t seem quite right...just like this kanji, which is just like ´day´ but doesn´t seem ´quite right.´.	When pent up alone, one sayeth little.	曰	いわく【曰く】pretext; history; past; story / according to ...; ... says<br/>いわくつき【いわく付き】with an interesting history (story); with a shady history; with circumstances that are difficult to explain	22	エツ	いわ.く, のたま.う, のたま.わく, ここに	578		0	[sound:RTK1_keyword_jp_620..mp3]	[sound:RTK1_keyword_en_620.mp3]
621	"<img src=""E59BB0.png"" />"	quandary	kahevahelolek	quandary - kahevahelolek. I´m supposed to make an enclosure for my tree, but if I use its wood for the enclosure, there won´t be anything left to be pent-in. What a quandary!	困る	こまる	to be troubled; to be worried; to be bothered; to be embarrassed; to be stumped	quandary, pent in, tree, wood	Pent in . . . trees.		7	I´m supposed to make an enclosure for my tree, but if I use its wood for the enclosure, there won´t be anything left to be pent-in. What a quandary!	You are pent in the garden of eden with one tree, but outside is the whole world to explore! What a quandary -- should you stay in paradise with the tree of knowledge or should you go out into the world?	困	こまる【困る】to be troubled; to be worried; to be bothered; to be embarrassed; to be stumped<br/>こんなん【困難】difficulty; distress<br/>こんわく【困惑】bewilderment; perplexity; embarrassment; discomfiture; bafflement<br/>ひんこん【貧困】poor; needy / lacking; meagre; meager<br/>こまりはてる【困り果てる】to be greatly perplexed; to be greatly embarrassed<br/>こんきゅう【困窮】poverty; distress<br/>こんぱい【困憊】exhaustion; fatigue<br/>こんく【困苦】privation; hardship<br/>こんきゃく【困却】perplexity; dilemma<br/>こうじる【困じる】to be troubled; to be worried; to be bothered / to become exhausted<br/>こまりぬく【困り抜く】to be at one's wit's end; to be in great trouble; to be at a loss	22	コン	こま.る	579	878	2	[sound:RTK1_keyword_jp_621..mp3]	[sound:RTK1_keyword_en_621.mp3]
622	"<img src=""E59BBA.png"" />"	harden	kivistunud	Fossils are old things pent in that have hardened. põlevkivi	固まる	かたまる	to harden; to solidify	harden, pent in, old, tombstone, gravestone, church, ten, needle, mouth	<i>Old</i> . . . <i>pent in</i>. Leave the people out of your story to avoid complications later when we add the element for person to form a new kanji (Frame 1047).		8	Fossils are old things pent in that have hardened.	Remember Metapod from Pokemon? All it used was harden, which kept it pent in until it grew old enough to evolve into Butterfree..	固	かたい【固い】hard; solid; tough / stiff; tight; wooden; unpolished (e.g. writing) / strong; firm (not viscous or easily moved) / safe; steady; honest; steadfast / obstinate; stubborn / bookish; formal; stuffy<br/>こてい【固定】fixation; fixing (e.g. salary, capital) / fixed handle<br/>かためる【固める】to harden; to freeze; to strengthen; to solidify; to make (a fist); to tramp down (snow, dirt) / to put together; to collect; to gather; to consolidate / to make secure; to stabilize; to settle down; to strengthen (belief, resolution, etc.); to establish (evidence) / to fortify; to reinforce; to support / to wear for a specific purpose (armor, coat, etc.) / to swear; to resolutely vow; to sincerely promise / to tie tightly; to fasten / to hold a bow fully drawn<br/>かたまる【固まる】to harden; to solidify / to become firm; to become certain / to gather (together); to assemble; to huddle together<br/>がんこ【頑固】stubbornness; obstinacy<br/>だんこ【断乎】firm; determined; resolute; conclusive<br/>こゆう【固有】characteristic; traditional; peculiar; inherent; native; eigen-<br/>きょうこ【強固】firmness; stability; security; strength<br/>けんご【堅固】solid; strong; firm<br/>かたず; かたづ【固唾】saliva held in one's mouth during times of tension<br/>ぎょうこ【凝固】coagulation; freezing; solidification<br/>かたまり【固まり】lump; mass; bundle; clump; clod; cluster / group; crowd / embodiment (of an idea, quality, feeling etc.); personification<br/>こしつ; こしゅう【固執】adherence (e.g. to ideas, beliefs, a pet theory) (negative nuance); persistence; insistence; stubbornness<br/>こけい【固型】solid (body)<br/>こたい【固体】solid (body); solid matter; solid-state<br/>こゆうめいし【固有名詞】proper noun<br/>かっこ【確乎】firm; unshakeable; resolute<br/>けいご【警固】watching (esp. during an emergency); being on alert / guard; watchmen<br/>いこじ; えこじ【依估地】obstinate; stubborn; obdurate; headstrong; willful; perverse<br/>こちゃく【固着】adherence to; sticking fast; fixation	22	コ	かた.める, かた.まる, かた.まり, かた.い	580	501	2	[sound:RTK1_keyword_jp_622..mp3]	[sound:RTK1_keyword_en_622.mp3]
623	"<img src=""E98CAE.png"" />"	weld	vangistus	han solo vangistus	潰瘍	かいよう	carbuncle; ulcer		Metal . . . harden.		16			錮	きんこ【禁固】imprisonment; confinement	22	コ	ふさ.ぐ		2030	0	[sound:RTK1_keyword_jp_623..mp3]	[sound:RTK1_keyword_en_623.mp3]
624	"<img src=""E59BBD.png"" />"	country	riik	In my country (England) the crown jewels are kept pent-in in the Tower of London. imagine closing a small gate attached to the showcase	国	くに	country; (the) state	country, pent in, king, jewel, ball, earring, drop	Jewels . . . pent in.		8	In my country (England) the crown jewels are kept pent-in in the Tower of London. Which happens to be where enemies of the state were once also pent-in (probably for trying to steal those jewels).	Just think of Japan, a country which is like a jewel but historically very enclosed.	国	ていこく【帝国】empire / imperial<br/>がいこく; そとぐに【外国】foreign country<br/>おうこく【王国】kingdom; monarchy<br/>こっか【国家】state; country; nation<br/>こくおう【国王】king<br/>こくみん【国民】nation; nationality; people; citizen<br/>こっきょう; くにざかい; こっかい【国堺】national border; provincial border<br/>ちゅうごく【中国】China / Chugoku region of western Honshu (incl. Okayama, Hiroshima, Shimane, Tottori and Yamaguchi prefectures) / central part of a country; main region<br/>いこく【異国】foreign country<br/>たこく【他国】foreign country; other country / another province / strange land; alien land<br/>こくない; こくだい; くぬち【国内】internal; domestic<br/>ぜんこく【全国】countrywide; nationwide; whole country; national<br/>こくさい【国際】international<br/>しょこく【諸国】various countries; various regions; various provinces<br/>きこく【帰国】return to one's country<br/>てんごく【天国】paradise; heaven; Kingdom of Heaven<br/>わがくに【わが国】our country; our land; one's own country<br/>えいこく【英国】Great Britain; the United Kingdom<br/>にゅうこく; にゅうごく【入国】entry to a country<br/>べいこく【米国】America; USA	22	コク	くに	581	136	4	[sound:RTK1_keyword_jp_624..mp3]	[sound:RTK1_keyword_en_624.mp3]
625	"<img src=""E59BA3.png"" />"	group	grupp	<div>a group of yakuza men glued together and pent in. imagine closing the gate being the last stroke.</div>	集団	しゅうだん	group; mass	group, pent in, glue	Glued . . . pent in.		6	When you are admitted into a group like the Yakuza, you´re well and truly done (だん) for. You must stick to the group like glue, and you will be pent-in for life, never being able to leave.	"A pent-in group will naturally be more cohesive, or ""glued together.""."	団	だん【団】body; group; party; company; troupe<br/>しゅうだん【集団】group; mass<br/>ふとん【布団】futon (quilted Japanese-style mattress laid out on the floor) / round cushion used for Zen meditation (traditionally made of woven bulrush leaves)<br/>ぐんだん【軍団】army corps<br/>いちだん【一団】body; group; party; gang; troupe<br/>だんたい【団体】organization; organisation; association<br/>ふとん【布団】futon (quilted Japanese-style mattress laid out on the floor) / round cushion used for Zen meditation (traditionally made of woven bulrush leaves)<br/>だんちょう【団長】leader of a delegation (body, party)<br/>せんだん【船団】fleet (fishing, naval, etc.); convoy; group of ships<br/>きょうだん【教団】religious organization; religious organisation<br/>ざぶとん【坐蒲団】zabuton (flat floor cushion used when sitting or kneeling; usu. rectangular)<br/>だんけつ【団結】unity; union; combination<br/>だんご【団子】dango; dumpling (usu. sweet); doughboy / ball-shaped object; something round / lump; group; bunch; knot; tight crowd<br/>だんち【団地】multi-unit apartments; apartment complex<br/>しだん【師団】(army) division<br/>だんいん【団員】group member<br/>うちわ【団扇】fan<br/>ぼうりょくだん【暴力団】gangster organization (organisation); crime syndicate; yakuza (Japanese mafia); band of thugs; group of hoodlums<br/>ざいだん【財団】foundation<br/>がくだん【楽団】orchestra; band	22	ダン, トン	かたまり, まる.い	582	772	2	[sound:RTK1_keyword_jp_625..mp3]	[sound:RTK1_keyword_en_625.mp3]
626	"<img src=""E59BA0.png"" />"	cause	põhjus	Pets caused a lot of trouble and had to be pent in to cause no more.	原因	げんいん	cause; origin; source	cause, pent in, large, St. Bernard	St. Bernard dog . . . pent in.		6	We once had a dog with big paws // and oh what great trouble he´d cause // we built a huge pen // to keep him pent in // and stop him from breaking more laws //.	Why is there poop on the kitchen floor? Oh, the cause is that you kept the dog pent in the house all day. Next time remember to walk him.	因	げんいん【原因】cause; origin; source<br/>いんねん; いんえん【因縁】fate; destiny / connection; tie; bond; origin / pretext; justification / hetu and prataya (direct causes and indirect conditions, which underlie the actions of all things)<br/>いんが【因果】cause and effect; karma; fate<br/>いん【因】cause; factor / hetu (direct cause, esp. as opposed to indirect conditions) / the basis of one's argument (in hetuvidya)<br/>よすが; よすか【便】something to rely on; aid; clue; way; means / someone to rely on; relative / reminder; memento<br/>よし【因】reason; significance; cause / piece of information that one has heard; I hear that ...; it is said that ...<br/>しいん【死因】cause of death<br/>よういん【要因】main cause; primary factor<br/>いんし【因子】factor; divisor; element<br/>よる【依る】to be due to; to be caused by / to depend on; to turn on / to be based on; to come from / to be based at (a location, an organization); to be headquartered at<br/>きいん【基因】cause; origin<br/>いんしゅう【因習】convention; tradition; long-established custom<br/>いんしゅう【因習】convention; tradition; long-established custom<br/>いんごう【因業】heartless; cruel; causes and actions; results of actions in previous life<br/>いんがりつ【因果律】law of cause and effect; principle of causality<br/>いちいん【一因】cause<br/>はいいん【敗因】cause of defeat<br/>いんがおうほう【因果応報】retribution; retributive justice; karma; just deserts; poetic justice; reward and punishment for one's past behavior<br/>いんじゅん【因循】indecision; vacillation<br/>そいん【素因】basic factor / (medcal) predisposition; diathesis	22	イン	よ.る, ちな.む	583	643	2	[sound:RTK1_keyword_jp_626..mp3]	[sound:RTK1_keyword_en_626.mp3]
627	"<img src=""E5A7BB.png"" />"	matrimony	abielu	Matrimony is the state in which the woman has got you pent in like a dog so that you cannot go after other bitches. imagine being attached to a leesh	婚姻	こんいん	marriage; matrimony	matrimony, woman, cause, pent in, large, St. Bernard	"<i>Woman</i> . . . <i>cause</i>. Think here of the ""state of <b>matrimony</b>"" and you will not confuse it with other characters involving marriage, one of which we have already met (Frame 581)."		9	Matrimony is the state in which the woman has got you pent in like a dog so that you cannot go after other bitches.	When the woman gets angry, she treats her man like a pent in dog (i.e., puts him in the doghouse). It´s a perfect metaphor for the state of matrimony.	姻	こんいん【婚姻】marriage; matrimony<br/>いんせき【姻戚】relative by marriage; affinity	22	イン		584	1287	1	[sound:RTK1_keyword_jp_627..mp3]	[sound:RTK1_keyword_en_627.mp3]
628	"<img src=""E592BD.png"" />"	windpipe	hingetoru	You can´t breathe very well, so the doc looks inside your mouth to find the cause. ´Oh, I see the cause of your windpipe blockage. There´s a St Bernard penned up in there!´.	咽喉	いんこう	throat	windpipe, mouth, cause, pent in, large, St. Bernard	Mouth . . . cause.		9	You can´t breathe very well, so the doc looks inside your mouth to find the cause. ´Oh, I see the cause of your windpipe blockage. There´s a St Bernard penned up in there!´.	Imagine a group of windpipes chatting: “That mouth is the cause of all my problems, you know, always breathing in germs, etc.”.	咽	いんこう【咽喉】throat<br/>おえつ【嗚咽】sobbing; weeping; groaning; fit of crying<br/>のど; のんど; のみと; のみど【吭】throat / singing voice<br/>むせぶ【咽ぶ】to be choked; to be stifled; to be smothered<br/>いんとう【咽頭】pharynx; pharyngeal<br/>じびいんこうか【耳鼻咽喉科】otorhinolaryngology; ear, nose and throat	22	イン, エン, エツ	むせ.ぶ, むせ.る, のど, の.む	2159	1281	0	[sound:RTK1_keyword_jp_628..mp3]	[sound:RTK1_keyword_en_628.mp3]
629	"<img src=""E59C92.png"" />"	park	park	homeless man in the park is living in a lidded crock surrounded by a pend	公園	こうえん	(public) park	park, pent in, earthenware jar, lidded crock, soil, dirt, ground, mouth, scarf	Pent in . . . lidded crock . . . scarf.		13	A nice picnic pent up in the park, with your crock pot and scarf (picnic blanket).	There was a homeless man living in a box at the park so I gave him a lidded crock filled with hot curry tied with a scarf...　　　　　　　　　RTK2:　エン　庭園　ていえん(Japanese garden)…　　　　　　　　　　Pure Group:　遠402　猿403.	園	その; えん【園】garden (esp. man-made); orchard; park; plantation / place; location<br/>こうえん【公園】(public) park<br/>がくえん【学園】academy; campus<br/>ていえん【庭園】garden; park<br/>ゆうえん【遊園】playground (for children); park<br/>はなぞの; かえん【花園】flower garden<br/>らくえん【楽園】pleasure garden; paradise<br/>ようちえん【幼稚園】kindergarten<br/>でんえん; でんおん【田園】country; rural districts / cultivated land; fields<br/>のうえん【農園】plantation<br/>こうしえん【甲子園】Koshien (location of Koshien Stadium, where the Japan National High School Baseball Tournament is held)<br/>さいえん【菜園】vegetable garden<br/>えんげい【園芸】horticulture; gardening<br/>えんちょう【園長】head of a garden; kindergarten principal; nursery school principal; park director (botanical garden); zoo director (zoological garden); head of a plantation<br/>えんない【園内】inside the garden (park)<br/>しょうえん; そうえん【庄園】manor; demesne<br/>ぞうえん【造園】landscape gardening<br/>えんゆうかい【園遊会】garden party<br/>えんじ【園児】kindergarten pupil; kindergartener<br/>ほいくえん【保育園】nursery school; day nursery; preschool	22	エン	その	585	84	2	[sound:RTK1_keyword_jp_629..mp3]	[sound:RTK1_keyword_en_629.mp3]
630	"<img src=""E59B9E.png"" />"	-times	-korda	one circle revolving inside of another.	回	かい	counter for occurrences	times, pent in, mouth	"The suffix ""<b>-times</b>"" refers to a number of repetitions. Its elements: <i>a mouth</i> . . . <i>pent in</i>. Hint: you may find it more helpful to forget the primitives and think of one circle revovling inside of another."		6	Write mouth two -times.	Pretty much a pictograph, see book. Keyword meanings : to turn round, counter for number of times, counter for rounds. Some simple compounds using previously learned kanji : 次回 (next time), 毎回 (every time/each round), 回る (to wander around).	回	かい【回】counter for occurrences / counter for games, rounds, etc.; counter for innings (baseball) / Islam / Hui (people)<br/>もとおる【回る】to wander around<br/>まわる【回る】to turn; to revolve / to visit several places / to function well / to pass a certain time<br/>めぐる【回る】to go around / to return / to surround / to concern (usu. of disputes)<br/>みる【回る】to go around<br/>まわす【回す】to turn; to rotate; to gyrate / to circulate; to send around / to surround / to put something to a new use (e.g. leftovers) / ... around (e.g. to chase someone around) / to dial (e.g. telephone number) / to invest / to gang-rape<br/>こんかい【今回】now; this time; lately<br/>かいてん【回転】rotation (usu. around something); revolution; turning<br/>みまわす【見まわす】to look around; to survey<br/>かいふく【回復】restoration; rehabilitation; recovery; return; replevin; improvement / recovery (from an illness); recuperation; convalescence<br/>かいひ【回避】evasion; avoidance<br/>せんかい【旋回】revolution; rotation; turning; swiveling; circling<br/>ふりまわす【振りまわす】to wield; to brandish; to flourish; to wave (about); to swing / to display (one's knowledge); to show off / to abuse (one's power) / to manipulate someone<br/>かいしゅう【回収】collection; recovery; withdrawal; retrieval<br/>かいろ【回路】circuit (electric) / cycle (e.g. Krebs cycle)<br/>かいろう【回廊】corridor; gallery; hallway; cloister (i.e. covered walk typically circling a building or garden, esp. in a palace or place of worship)<br/>まわり【回り】rotation / making the rounds / spreading / effect; efficacy / by way of; via / round; turn / size / 12-year period; 12-year age difference<br/>ぜんかい【前回】previous time; last time; previous installment; previous instalment; previous session<br/>あるきまわる【歩きまわる】to walk about; to walk to and fro; to pace around<br/>かいせん【回線】circuit; line	22	カイ, エ	まわ.る, -まわ.る, -まわ.り, まわ.す, -まわ.す, まわ.し-, -まわ.し, もとお.る, か.える	586	92	3	[sound:RTK1_keyword_jp_630..mp3]	[sound:RTK1_keyword_en_630.mp3]
631	"<img src=""E5A387.png"" />"	podium	poodium	You must fill a top hat with dirt as many times as you can by nightbreak.	壇	だん	platform; podium; rostrum	podium, soil, dirt, ground, Churchill, top hat, -times, pent in, mouth, nightbreak, sun, day, one, floor	<i>Soil/ground</i> . . . <i>top hat</i> . . . <i>-times</i> . . . <i>nightbreak</i>. With kanji as difficult as this one, it generally pays to toy with the various connotations of its primitives before settling on one image. Aim for as much simplicity as you can.		16	A man on the podium announce the rules for the contest: You must fill a top hat with dirt as many times as you can by nightbreak.	Abraham Lincoln used a simple mound of soil for a podium, when he wore his top hat and gave the speech he had practiced many times until nightbreak. But it was so magnificent that no one noticed.	壇	かだん【花壇】flower bed<br/>さいだん【祭壇】altar<br/>だん【壇】platform; podium; rostrum / mandala<br/>きょうだん【教壇】platform<br/>ぶつだん【仏壇】Buddhist (household) altar<br/>だんじょう【壇上】on a stage; on a platform; on an altar<br/>ぶんだん【文壇】literary world; literary circles<br/>えんだん【演壇】rostrum; platform<br/>どたんば【土壇場】last moment; eleventh hour / platform made of dirt used to perform executions (decapitations) in the Edo period<br/>ひなだん【ひな壇】tiered doll stand (for hina dolls) / tiered platform; tiered gallery<br/>ごまだん【護摩壇】homa-mandala (fire altar)<br/>こうだん【講壇】lecture platform<br/>どくだんじょう【独壇場】field in which one acts unchallenged; unrivaled sphere of activity (unrivalled); one's monopoly<br/>しだん【詩壇】poetic circles; world of poetry<br/>がだん【画壇】artists' world; painting circles<br/>かいだん【戒壇】ordination platform<br/>とうだん【登壇】taking the podium; mounting the rostrum; going on stage to give a speech, etc.<br/>がくだん【楽壇】musical world<br/>かだん【歌壇】poetry circles<br/>げきだん【劇壇】the stage; the theatrical world	22	ダン, タン		587	1987	1	[sound:RTK1_keyword_jp_631..mp3]	[sound:RTK1_keyword_en_631.mp3]
632	"<img src=""E5BA97.png"" />"	store	pood	The fortuneteller has a store in a cave. pankranniku all koopas asub ennustamisest elatuv nõid, kelle maja korsten ulatub maapinnani. silt uksel	店	みせ	store; shop; establishment	store, cave, fortune-telling, magic wand, augury, mouth	Cave . . . fortune-telling.		8	Try to remember all those stores from Zelda that were inside caves and had fortune-teller like vendors.	The fortuneteller has a store in a cave.	店	てんない【店内】store interior<br/>きっさてん; きっちゃてん【喫茶店】coffee shop; tearoom; coffee lounge; coffeehouse; cafe<br/>しょうてん【商店】shop; small store; business; firm<br/>てんいん【店員】shop assistant; employee; clerk; salesperson<br/>てんちょう【店長】shop manager<br/>ろてん【露店】street stall; stand; booth<br/>てんしゅ【店主】shopkeeper<br/>みせさき【店先】storefront; shopfront<br/>してん【支店】branch office; branch store<br/>さてん; ちゃみせ【茶店】tea house<br/>ばいてん【売店】shop; stand<br/>よみせ【夜店】night stall; night shop; night fair<br/>しょてん【書店】bookshop; bookstore<br/>かいてん【開店】opening (of a shop)<br/>てんとう【店頭】shopfront; storefront; shopwindow; (near the) shop entrance / over-the-counter<br/>てんぽ【店舗】shop; store<br/>ひゃっかてん【百貨店】(department) store; (department) stores<br/>へいてん【閉店】closing up shop (for the day) / stopping business; going out of business<br/>みせばん【店番】store tending; salesperson<br/>でみせ【出店】food stand; food stall / branch store	22	テン	みせ, たな	588	195	4	[sound:RTK1_keyword_jp_632..mp3]	[sound:RTK1_keyword_en_632.mp3]
